time,id,x,y,vx,vy,mass,radius,alive
3.8,2,138.609,14.3455,7.72727,-19.0909,2.2,9.21954,1
3.8,3,112.11,169.969,-29.0811,17.5135,1.5,8,1
3.8,4,246.245,155.423,-6.67257,-21.9115,0.9,5.5,1
3.82,1,165.2,280.4,30,60,1,6,1
3.82,2,138.764,13.9636,7.72727,-19.0909,2.2,9.21954,1
3.82,3,111.529,170.319,-29.0811,17.5135,1.5,8,1
3.82,4,246.111,154.984,-6.67257,-21.9115,0.9,5.5,1
3.84,1,165.8,281.6,30,60,1,6,1
3.84,2,138.918,13.5818,7.72727,-19.0909,2.2,9.21954,1
3.84,3,110.947,170.67,-29.0811,17.5135,1.5,8,1
3.84,4,245.978,154.546,-6.67257,-21.9115,0.9,5.5,1
3.86,1,166.4,282.8,30,60,1,6,1
3.86,2,139.073,13.2,7.72727,-19.0909,2.2,9.21954,1
3.86,3,110.365,171.02,-29.0811,17.5135,1.5,8,1
3.86,4,245.844,154.108,-6.67257,-21.9115,0.9,5.5,1
3.88,1,167,284,30,60,1,6,1
3.88,2,139.227,12.8182,7.72727,-19.0909,2.2,9.21954,1
3.88,3,109.784,171.37,-29.0811,17.5135,1.5,8,1
3.88,4,245.711,153.67,-6.67257,-21.9115,0.9,5.5,1
3.9,1,167.6,285.2,30,60,1,6,1
3.9,2,139.382,12.4364,7.72727,-19.0909,2.2,9.21954,1
3.9,3,109.202,171.72,-29.0811,17.5135,1.5,8,1
3.9,4,245.578,153.231,-6.67257,-21.9115,0.9,5.5,1
3.92,1,168.2,286.4,30,60,1,6,1
3.92,2,139.536,12.0545,7.72727,-19.0909,2.2,9.21954,1
3.92,3,108.62,172.071,-29.0811,17.5135,1.5,8,1
3.92,4,245.444,152.793,-6.67257,-21.9115,0.9,5.5,1
3.94,1,168.8,287.6,30,60,1,6,1
3.94,2,139.691,11.6727,7.72727,-19.0909,2.2,9.21954,1
3.94,3,108.039,172.421,-29.0811,17.5135,1.5,8,1
3.94,4,245.311,152.355,-6.67257,-21.9115,0.9,5.5,1
3.96,1,169.4,288.8,30,60,1,6,1
3.96,2,139.845,11.2909,7.72727,-19.0909,2.2,9.21954,1
3.96,3,107.457,172.771,-29.0811,17.5135,1.5,8,1
3.96,4,245.177,151.917,-6.67257,-21.9115,0.9,5.5,1
3.98,1,170,290,30,60,1,6,1
3.98,2,140,10.9091,7.72727,-19.0909,2.2,9.21954,1
3.98,3,106.876,173.122,-29.0811,17.5135,1.5,8,1
3.98,4,245.044,151.479,-6.67257,-21.9115,0.9,5.5,1
4,1,170.6,291.2,30,60,1,6,1
4,2,140.155,10.5273,7.72727,-19.0909,2.2,9.21954,1
4,3,106.294,173.472,-29.0811,17.5135,1.5,8,1
4,4,244.91,151.04,-6.67257,-21.9115,0.9,5.5,1
4.02,1,171.2,292.4,30,60,1,6,1
4.02,2,140.309,10.1455,7.72727,-19.0909,2.2,9.21954,1
4.02,3,105.712,173.822,-29.0811,17.5135,1.5,8,1
4.02,4,244.777,150.602,-6.67257,-21.9115,0.9,5.5,1
4.04,1,171.8,293.6,30,60,1,6,1
4.04,2,140.464,9.76364,7.72727,-19.0909,2.2,9.21954,1
4.04,3,105.131,174.172,-29.0811,17.5135,1.5,8,1
4.04,4,244.643,150.164,-6.67257,-21.9115,0.9,5.5,1
4.06,1,172.4,294,30,-60,1,6,1
4.06,2,140.618,9.38182,7.72727,-19.0909,2.2,9.21954,1
4.06,3,104.549,174.523,-29.0811,17.5135,1.5,8,1
4.06,4,244.51,149.726,-6.67257,-21.9115,0.9,5.5,1
4.08,1,173,292.8,30,-60,1,6,1
4.08,2,140.773,9.21954,7.72727,19.0909,2.2,9.21954,1
4.08,3,103.967,174.873,-29.0811,17.5135,1.5,8,1
4.08,4,244.376,149.287,-6.67257,-21.9115,0.9,5.5,1
4.1,1,173.6,291.6,30,-60,1,6,1
4.1,2,140.927,9.60136,7.72727,19.0909,2.2,9.21954,1
4.1,3,103.386,175.223,-29.0811,17.5135,1.5,8,1
4.1,4,244.243,148.849,-6.67257,-21.9115,0.9,5.5,1
4.12,1,174.2,290.4,30,-60,1,6,1
4.12,2,141.082,9.98318,7.72727,19.0909,2.2,9.21954,1
4.12,3,102.804,175.573,-29.0811,17.5135,1.5,8,1
4.12,4,244.11,148.411,-6.67257,-21.9115,0.9,5.5,1
4.14,1,174.8,289.2,30,-60,1,6,1
4.14,2,141.236,10.365,7.72727,19.0909,2.2,9.21954,1
4.14,3,102.223,175.924,-29.0811,17.5135,1.5,8,1
4.14,4,243.976,147.973,-6.67257,-21.9115,0.9,5.5,1
4.16,1,175.4,288,30,-60,1,6,1
4.16,2,141.391,10.7468,7.72727,19.0909,2.2,9.21954,1
4.16,3,101.641,176.274,-29.0811,17.5135,1.5,8,1
4.16,4,243.843,147.534,-6.67257,-21.9115,0.9,5.5,1
4.18,1,176,286.8,30,-60,1,6,1
4.18,2,141.545,11.1286,7.72727,19.0909,2.2,9.21954,1
4.18,3,101.059,176.624,-29.0811,17.5135,1.5,8,1
4.18,4,243.709,147.096,-6.67257,-21.9115,0.9,5.5,1
4.2,1,176.6,285.6,30,-60,1,6,1
4.2,2,141.7,11.5105,7.72727,19.0909,2.2,9.21954,1
4.2,3,100.478,176.975,-29.0811,17.5135,1.5,8,1
4.2,4,243.576,146.658,-6.67257,-21.9115,0.9,5.5,1
4.22,1,177.2,284.4,30,-60,1,6,1
4.22,2,141.855,11.8923,7.72727,19.0909,2.2,9.21954,1
4.22,3,99.8961,177.325,-29.0811,17.5135,1.5,8,1
4.22,4,243.442,146.22,-6.67257,-21.9115,0.9,5.5,1
4.24,1,177.8,283.2,30,-60,1,6,1
4.24,2,142.009,12.2741,7.72727,19.0909,2.2,9.21954,1
4.24,3,99.3145,177.675,-29.0811,17.5135,1.5,8,1
4.24,4,243.309,145.782,-6.67257,-21.9115,0.9,5.5,1
4.26,1,178.4,282,30,-60,1,6,1
4.26,2,142.164,12.6559,7.72727,19.0909,2.2,9.21954,1
4.26,3,98.7328,178.025,-29.0811,17.5135,1.5,8,1
4.26,4,243.175,145.343,-6.67257,-21.9115,0.9,5.5,1
4.28,1,179,280.8,30,-60,1,6,1
4.28,2,142.318,13.0377,7.72727,19.0909,2.2,9.21954,1
4.28,3,98.1512,178.376,-29.0811,17.5135,1.5,8,1
4.28,4,243.042,144.905,-6.67257,-21.9115,0.9,5.5,1
4.3,1,179.6,279.6,30,-60,1,6,1
4.3,2,142.473,13.4195,7.72727,19.0909,2.2,9.21954,1
4.3,3,97.5696,178.726,-29.0811,17.5135,1.5,8,1
4.3,4,242.908,144.467,-6.67257,-21.9115,0.9,5.5,1
4.32,1,180.2,278.4,30,-60,1,6,1
4.32,2,142.627,13.8014,7.72727,19.0909,2.2,9.21954,1
4.32,3,96.988,179.076,-29.0811,17.5135,1.5,8,1
4.32,4,242.775,144.029,-6.67257,-21.9115,0.9,5.5,1
4.34,1,180.8,277.2,30,-60,1,6,1
4.34,2,142.782,14.1832,7.72727,19.0909,2.2,9.21954,1
4.34,3,96.4064,179.426,-29.0811,17.5135,1.5,8,1
4.34,4,242.642,143.59,-6.67257,-21.9115,0.9,5.5,1
4.36,1,181.4,276,30,-60,1,6,1
4.36,2,142.936,14.565,7.72727,19.0909,2.2,9.21954,1
4.36,3,95.8247,179.777,-29.0811,17.5135,1.5,8,1
4.36,4,242.508,143.152,-6.67257,-21.9115,0.9,5.5,1
4.38,1,182,274.8,30,-60,1,6,1
4.38,2,143.091,14.9468,7.72727,19.0909,2.2,9.21954,1
4.38,3,95.2431,180.127,-29.0811,17.5135,1.5,8,1
4.38,4,242.375,142.714,-6.67257,-21.9115,0.9,5.5,1
4.4,1,182.6,273.6,30,-60,1,6,1
4.4,2,143.245,15.3286,7.72727,19.0909,2.2,9.21954,1
4.4,3,94.6615,180.477,-29.0811,17.5135,1.5,8,1
4.4,4,242.241,142.276,-6.67257,-21.9115,0.9,5.5,1
4.42,1,183.2,272.4,30,-60,1,6,1
4.42,2,143.4,15.7105,7.72727,19.0909,2.2,9.21954,1
4.42,3,94.0799,180.828,-29.0811,17.5135,1.5,8,1
4.42,4,242.108,141.837,-6.67257,-21.9115,0.9,5.5,1
4.44,1,183.8,271.2,30,-60,1,6,1
4.44,2,143.555,16.0923,7.72727,19.0909,2.2,9.21954,1
4.44,3,93.4982,181.178,-29.0811,17.5135,1.5,8,1
4.44,4,241.974,141.399,-6.67257,-21.9115,0.9,5.5,1
4.46,1,184.4,270,30,-60,1,6,1
4.46,2,143.709,16.4741,7.72727,19.0909,2.2,9.21954,1
4.46,3,92.9166,181.528,-29.0811,17.5135,1.5,8,1
4.46,4,241.841,140.961,-6.67257,-21.9115,0.9,5.5,1
4.48,1,185,268.8,30,-60,1,6,1
4.48,2,143.864,16.8559,7.72727,19.0909,2.2,9.21954,1
4.48,3,92.335,181.878,-29.0811,17.5135,1.5,8,1
4.48,4,241.707,140.523,-6.67257,-21.9115,0.9,5.5,1
4.5,1,185.6,267.6,30,-60,1,6,1
4.5,2,144.018,17.2377,7.72727,19.0909,2.2,9.21954,1
4.5,3,91.7534,182.229,-29.0811,17.5135,1.5,8,1
4.5,4,241.574,140.085,-6.67257,-21.9115,0.9,5.5,1
4.52,1,186.2,266.4,30,-60,1,6,1
4.52,2,144.173,17.6195,7.72727,19.0909,2.2,9.21954,1
4.52,3,91.1718,182.579,-29.0811,17.5135,1.5,8,1
4.52,4,241.441,139.646,-6.67257,-21.9115,0.9,5.5,1
4.54,1,186.8,265.2,30,-60,1,6,1
4.54,2,144.327,18.0014,7.72727,19.0909,2.2,9.21954,1
4.54,3,90.5901,182.929,-29.0811,17.5135,1.5,8,1
4.54,4,241.307,139.208,-6.67257,-21.9115,0.9,5.5,1
4.56,1,187.4,264,30,-60,1,6,1
4.56,2,144.482,18.3832,7.72727,19.0909,2.2,9.21954,1
4.56,3,90.0085,183.279,-29.0811,17.5135,1.5,8,1
4.56,4,241.174,138.77,-6.67257,-21.9115,0.9,5.5,1
4.58,1,188,262.8,30,-60,1,6,1
4.58,2,144.636,18.765,7.72727,19.0909,2.2,9.21954,1
4.58,3,89.4269,183.63,-29.0811,17.5135,1.5,8,1
4.58,4,241.04,138.332,-6.67257,-21.9115,0.9,5.5,1
4.6,1,188.6,261.6,30,-60,1,6,1
4.6,2,144.791,19.1468,7.72727,19.0909,2.2,9.21954,1
4.6,3,88.8453,183.98,-29.0811,17.5135,1.5,8,1
4.6,4,240.907,137.893,-6.67257,-21.9115,0.9,5.5,1
4.62,1,189.2,260.4,30,-60,1,6,1
4.62,2,144.945,19.5286,7.72727,19.0909,2.2,9.21954,1
4.62,3,88.2637,184.33,-29.0811,17.5135,1.5,8,1
4.62,4,240.773,137.455,-6.67257,-21.9115,0.9,5.5,1
4.64,1,189.8,259.2,30,-60,1,6,1
4.64,2,145.1,19.9105,7.72727,19.0909,2.2,9.21954,1
4.64,3,87.682,184.68,-29.0811,17.5135,1.5,8,1
4.64,4,240.64,137.017,-6.67257,-21.9115,0.9,5.5,1
4.66,1,190.4,258,30,-60,1,6,1
4.66,2,145.255,20.2923,7.72727,19.0909,2.2,9.21954,1
4.66,3,87.1004,185.031,-29.0811,17.5135,1.5,8,1
4.66,4,240.506,136.579,-6.67257,-21.9115,0.9,5.5,1
4.68,1,191,256.8,30,-60,1,6,1
4.68,2,145.409,20.6741,7.72727,19.0909,2.2,9.21954,1
4.68,3,86.5188,185.381,-29.0811,17.5135,1.5,8,1
4.68,4,240.373,136.14,-6.67257,-21.9115,0.9,5.5,1
4.7,1,191.6,255.6,30,-60,1,6,1
4.7,2,145.564,21.0559,7.72727,19.0909,2.2,9.21954,1
4.7,3,85.9372,185.731,-29.0811,17.5135,1.5,8,1
4.7,4,240.239,135.702,-6.67257,-21.9115,0.9,5.5,1
4.72,1,192.2,254.4,30,-60,1,6,1
4.72,2,145.718,21.4377,7.72727,19.0909,2.2,9.21954,1
4.72,3,85.3555,186.082,-29.0811,17.5135,1.5,8,1
4.72,4,240.106,135.264,-6.67257,-21.9115,0.9,5.5,1
4.74,1,192.8,253.2,30,-60,1,6,1
4.74,2,145.873,21.8195,7.72727,19.0909,2.2,9.21954,1
4.74,3,84.7739,186.432,-29.0811,17.5135,1.5,8,1
4.74,4,239.973,134.826,-6.67257,-21.9115,0.9,5.5,1
4.76,1,193.4,252,30,-60,1,6,1
4.76,2,146.027,22.2014,7.72727,19.0909,2.2,9.21954,1
4.76,3,84.1923,186.782,-29.0811,17.5135,1.5,8,1
4.76,4,239.839,134.388,-6.67257,-21.9115,0.9,5.5,1
4.78,1,194,250.8,30,-60,1,6,1
4.78,2,146.182,22.5832,7.72727,19.0909,2.2,9.21954,1
4.78,3,83.6107,187.132,-29.0811,17.5135,1.5,8,1
4.78,4,239.706,133.949,-6.67257,-21.9115,0.9,5.5,1
4.8,1,194.6,249.6,30,-60,1,6,1
4.8,2,146.336,22.965,7.72727,19.0909,2.2,9.21954,1
4.8,3,83.0291,187.483,-29.0811,17.5135,1.5,8,1
4.8,4,239.572,133.511,-6.67257,-21.9115,0.9,5.5,1
4.82,1,195.2,248.4,30,-60,1,6,1
4.82,2,146.491,23.3468,7.72727,19.0909,2.2,9.21954,1
4.82,3,82.4474,187.833,-29.0811,17.5135,1.5,8,1
4.82,4,239.439,133.073,-6.67257,-21.9115,0.9,5.5,1
4.84,1,195.8,247.2,30,-60,1,6,1
4.84,2,146.645,23.7286,7.72727,19.0909,2.2,9.21954,1
4.84,3,81.8658,188.183,-29.0811,17.5135,1.5,8,1
4.84,4,239.305,132.635,-6.67257,-21.9115,0.9,5.5,1
4.86,1,196.4,246,30,-60,1,6,1
4.86,2,146.8,24.1105,7.72727,19.0909,2.2,9.21954,1
4.86,3,81.2842,188.533,-29.0811,17.5135,1.5,8,1
4.86,4,239.172,132.196,-6.67257,-21.9115,0.9,5.5,1
4.88,1,197,244.8,30,-60,1,6,1
4.88,2,146.955,24.4923,7.72727,19.0909,2.2,9.21954,1
4.88,3,80.7026,188.884,-29.0811,17.5135,1.5,8,1
4.88,4,239.038,131.758,-6.67257,-21.9115,0.9,5.5,1
4.9,1,197.6,243.6,30,-60,1,6,1
4.9,2,147.109,24.8741,7.72727,19.0909,2.2,9.21954,1
4.9,3,80.1209,189.234,-29.0811,17.5135,1.5,8,1
4.9,4,238.905,131.32,-6.67257,-21.9115,0.9,5.5,1
4.92,1,198.2,242.4,30,-60,1,6,1
4.92,2,147.264,25.2559,7.72727,19.0909,2.2,9.21954,1
4.92,3,79.5393,189.584,-29.0811,17.5135,1.5,8,1
4.92,4,238.771,130.882,-6.67257,-21.9115,0.9,5.5,1
4.94,1,198.8,241.2,30,-60,1,6,1
4.94,2,147.418,25.6377,7.72727,19.0909,2.2,9.21954,1
4.94,3,78.9577,189.935,-29.0811,17.5135,1.5,8,1
4.94,4,238.638,130.443,-6.67257,-21.9115,0.9,5.5,1
4.96,1,199.4,240,30,-60,1,6,1
4.96,2,147.573,26.0195,7.72727,19.0909,2.2,9.21954,1
4.96,3,78.3761,190.285,-29.0811,17.5135,1.5,8,1
4.96,4,238.505,130.005,-6.67257,-21.9115,0.9,5.5,1
4.98,1,200,238.8,30,-60,1,6,1
4.98,2,147.727,26.4014,7.72727,19.0909,2.2,9.21954,1
4.98,3,77.7945,190.635,-29.0811,17.5135,1.5,8,1
4.98,4,238.371,129.567,-6.67257,-21.9115,0.9,5.5,1
5,1,200.6,237.6,30,-60,1,6,1
5,2,147.882,26.7832,7.72727,19.0909,2.2,9.21954,1
5,3,77.2128,190.985,-29.0811,17.5135,1.5,8,1
5,4,238.238,129.129,-6.67257,-21.9115,0.9,5.5,1
5.02,1,201.2,236.4,30,-60,1,6,1
5.02,2,148.036,27.165,7.72727,19.0909,2.2,9.21954,1
5.02,3,76.6312,191.336,-29.0811,17.5135,1.5,8,1
5.02,4,238.104,128.691,-6.67257,-21.9115,0.9,5.5,1
5.04,1,201.8,235.2,30,-60,1,6,1
5.04,2,148.191,27.5468,7.72727,19.0909,2.2,9.21954,1
5.04,3,76.0496,191.686,-29.0811,17.5135,1.5,8,1
5.04,4,237.971,128.252,-6.67257,-21.9115,0.9,5.5,1
5.06,1,202.4,234,30,-60,1,6,1
5.06,2,148.345,27.9286,7.72727,19.0909,2.2,9.21954,1
5.06,3,75.468,192,-29.0811,-10.5081,1.5,8,1
5.06,4,237.837,127.814,-6.67257,-21.9115,0.9,5.5,1
5.08,1,203,232.8,30,-60,1,6,1
5.08,2,148.5,28.3105,7.72727,19.0909,2.2,9.21954,1
5.08,3,74.8864,191.79,-29.0811,-10.5081,1.5,8,1
5.08,4,237.704,127.376,-6.67257,-21.9115,0.9,5.5,1
5.1,1,203.6,231.6,30,-60,1,6,1
5.1,2,148.655,28.6923,7.72727,19.0909,2.2,9.21954,1
5.1,3,74.3047,191.58,-29.0811,-10.5081,1.5,8,1
5.1,4,237.57,126.938,-6.67257,-21.9115,0.9,5.5,1
5.12,1,204.2,230.4,30,-60,1,6,1
5.12,2,148.809,29.0741,7.72727,19.0909,2.2,9.21954,1
5.12,3,73.7231,191.37,-29.0811,-10.5081,1.5,8,1
5.12,4,237.437,126.499,-6.67257,-21.9115,0.9,5.5,1
5.14,1,204.8,229.2,30,-60,1,6,1
5.14,2,148.964,29.4559,7.72727,19.0909,2.2,9.21954,1
5.14,3,73.1415,191.159,-29.0811,-10.5081,1.5,8,1
5.14,4,237.304,126.061,-6.67257,-21.9115,0.9,5.5,1
5.16,1,205.4,228,30,-60,1,6,1
5.16,2,149.118,29.8377,7.72727,19.0909,2.2,9.21954,1
5.16,3,72.5599,190.949,-29.0811,-10.5081,1.5,8,1
5.16,4,237.17,125.623,-6.67257,-21.9115,0.9,5.5,1
5.18,1,206,226.8,30,-60,1,6,1
5.18,2,149.273,30.2195,7.72727,19.0909,2.2,9.21954,1
5.18,3,71.9782,190.739,-29.0811,-10.5081,1.5,8,1
5.18,4,237.037,125.185,-6.67257,-21.9115,0.9,5.5,1
5.2,1,206.6,225.6,30,-60,1,6,1
5.2,2,149.427,30.6014,7.72727,19.0909,2.2,9.21954,1
5.2,3,71.3966,190.529,-29.0811,-10.5081,1.5,8,1
5.2,4,236.903,124.746,-6.67257,-21.9115,0.9,5.5,1
5.22,1,207.2,224.4,30,-60,1,6,1
5.22,2,149.582,30.9832,7.72727,19.0909,2.2,9.21954,1
5.22,3,70.815,190.319,-29.0811,-10.5081,1.5,8,1
5.22,4,236.77,124.308,-6.67257,-21.9115,0.9,5.5,1
5.24,1,207.8,223.2,30,-60,1,6,1
5.24,2,149.736,31.365,7.72727,19.0909,2.2,9.21954,1
5.24,3,70.2334,190.109,-29.0811,-10.5081,1.5,8,1
5.24,4,236.636,123.87,-6.67257,-21.9115,0.9,5.5,1
5.26,1,208.4,222,30,-60,1,6,1
5.26,2,149.891,31.7468,7.72727,19.0909,2.2,9.21954,1
5.26,3,69.6518,189.898,-29.0811,-10.5081,1.5,8,1
5.26,4,236.503,123.432,-6.67257,-21.9115,0.9,5.5,1
5.28,1,209,220.8,30,-60,1,6,1
5.28,2,150.045,32.1286,7.72727,19.0909,2.2,9.21954,1
5.28,3,69.0701,189.688,-29.0811,-10.5081,1.5,8,1
5.28,4,236.369,122.994,-6.67257,-21.9115,0.9,5.5,1
5.3,1,209.6,219.6,30,-60,1,6,1
5.3,2,150.2,32.5105,7.72727,19.0909,2.2,9.21954,1
5.3,3,68.4885,189.478,-29.0811,-10.5081,1.5,8,1
5.3,4,236.236,122.555,-6.67257,-21.9115,0.9,5.5,1
5.32,1,210.2,218.4,30,-60,1,6,1
5.32,2,150.355,32.8923,7.72727,19.0909,2.2,9.21954,1
5.32,3,67.9069,189.268,-29.0811,-10.5081,1.5,8,1
5.32,4,236.102,122.117,-6.67257,-21.9115,0.9,5.5,1
5.34,1,210.8,217.2,30,-60,1,6,1
5.34,2,150.509,33.2741,7.72727,19.0909,2.2,9.21954,1
5.34,3,67.3253,189.058,-29.0811,-10.5081,1.5,8,1
5.34,4,235.969,121.679,-6.67257,-21.9115,0.9,5.5,1
5.36,1,211.4,216,30,-60,1,6,1
5.36,2,150.664,33.6559,7.72727,19.0909,2.2,9.21954,1
5.36,3,66.7437,188.848,-29.0811,-10.5081,1.5,8,1
5.36,4,235.836,121.241,-6.67257,-21.9115,0.9,5.5,1
5.38,1,212,214.8,30,-60,1,6,1
5.38,2,150.818,34.0377,7.72727,19.0909,2.2,9.21954,1
5.38,3,66.162,188.637,-29.0811,-10.5081,1.5,8,1
5.38,4,235.702,120.802,-6.67257,-21.9115,0.9,5.5,1
5.4,1,212.6,213.6,30,-60,1,6,1
5.4,2,150.973,34.4195,7.72727,19.0909,2.2,9.21954,1
5.4,3,65.5804,188.427,-29.0811,-10.5081,1.5,8,1
5.4,4,235.569,120.364,-6.67257,-21.9115,0.9,5.5,1
5.42,1,213.2,212.4,30,-60,1,6,1
5.42,2,151.127,34.8014,7.72727,19.0909,2.2,9.21954,1
5.42,3,64.9988,188.217,-29.0811,-10.5081,1.5,8,1
5.42,4,235.435,119.926,-6.67257,-21.9115,0.9,5.5,1
5.44,1,213.8,211.2,30,-60,1,6,1
5.44,2,151.282,35.1832,7.72727,19.0909,2.2,9.21954,1
5.44,3,64.4172,188.007,-29.0811,-10.5081,1.5,8,1
5.44,4,235.302,119.488,-6.67257,-21.9115,0.9,5.5,1
5.46,1,214.4,210,30,-60,1,6,1
5.46,2,151.436,35.565,7.72727,19.0909,2.2,9.21954,1
5.46,3,63.8355,187.797,-29.0811,-10.5081,1.5,8,1
5.46,4,235.168,119.05,-6.67257,-21.9115,0.9,5.5,1
5.48,1,215,208.8,30,-60,1,6,1
5.48,2,151.591,35.9468,7.72727,19.0909,2.2,9.21954,1
5.48,3,63.2539,187.587,-29.0811,-10.5081,1.5,8,1
5.48,4,235.035,118.611,-6.67257,-21.9115,0.9,5.5,1
5.5,1,215.6,207.6,30,-60,1,6,1
5.5,2,151.745,36.3286,7.72727,19.0909,2.2,9.21954,1
5.5,3,62.6723,187.376,-29.0811,-10.5081,1.5,8,1
5.5,4,234.901,118.173,-6.67257,-21.9115,0.9,5.5,1
5.52,1,216.2,206.4,30,-60,1,6,1
5.52,2,151.9,36.7105,7.72727,19.0909,2.2,9.21954,1
5.52,3,62.0907,187.166,-29.0811,-10.5081,1.5,8,1
5.52,4,234.768,117.735,-6.67257,-21.9115,0.9,5.5,1
5.54,1,216.8,205.2,30,-60,1,6,1
5.54,2,152.055,37.0923,7.72727,19.0909,2.2,9.21954,1
5.54,3,61.5091,186.956,-29.0811,-10.5081,1.5,8,1
5.54,4,234.635,117.297,-6.67257,-21.9115,0.9,5.5,1
5.56,1,217.4,204,30,-60,1,6,1
5.56,2,152.209,37.4741,7.72727,19.0909,2.2,9.21954,1
5.56,3,60.9274,186.746,-29.0811,-10.5081,1.5,8,1
5.56,4,234.501,116.858,-6.67257,-21.9115,0.9,5.5,1
5.58,1,218,202.8,30,-60,1,6,1
5.58,2,152.364,37.8559,7.72727,19.0909,2.2,9.21954,1
5.58,3,60.3458,186.536,-29.0811,-10.5081,1.5,8,1
5.58,4,234.368,116.42,-6.67257,-21.9115,0.9,5.5,1
5.6,1,218.6,201.6,30,-60,1,6,1
5.6,2,152.518,38.2377,7.72727,19.0909,2.2,9.21954,1
5.6,3,59.7642,186.326,-29.0811,-10.5081,1.5,8,1
5.6,4,234.234,115.982,-6.67257,-21.9115,0.9,5.5,1
5.62,1,219.2,200.4,30,-60,1,6,1
5.62,2,152.673,38.6195,7.72727,19.0909,2.2,9.21954,1
5.62,3,59.1826,186.115,-29.0811,-10.5081,1.5,8,1
5.62,4,234.101,115.544,-6.67257,-21.9115,0.9,5.5,1
5.64,1,219.8,199.2,30,-60,1,6,1
5.64,2,152.827,39.0014,7.72727,19.0909,2.2,9.21954,1
5.64,3,58.6009,185.905,-29.0811,-10.5081,1.5,8,1
5.64,4,233.967,115.105,-6.67257,-21.9115,0.9,5.5,1
5.66,1,220.4,198,30,-60,1,6,1
5.66,2,152.982,39.3832,7.72727,19.0909,2.2,9.21954,1
5.66,3,58.0193,185.695,-29.0811,-10.5081,1.5,8,1
5.66,4,233.834,114.667,-6.67257,-21.9115,0.9,5.5,1
5.68,1,221,196.8,30,-60,1,6,1
5.68,2,153.136,39.765,7.72727,19.0909,2.2,9.21954,1
5.68,3,57.4377,185.485,-29.0811,-10.5081,1.5,8,1
5.68,4,233.7,114.229,-6.67257,-21.9115,0.9,5.5,1
5.7,1,221.6,195.6,30,-60,1,6,1
5.7,2,153.291,40.1468,7.72727,19.0909,2.2,9.21954,1
5.7,3,56.8561,185.275,-29.0811,-10.5081,1.5,8,1
5.7,4,233.567,113.791,-6.67257,-21.9115,0.9,5.5,1
5.72,1,222.2,194.4,30,-60,1,6,1
5.72,2,153.445,40.5286,7.72727,19.0909,2.2,9.21954,1
5.72,3,56.2745,185.065,-29.0811,-10.5081,1.5,8,1
5.72,4,233.433,113.353,-6.67257,-21.9115,0.9,5.5,1
5.74,1,222.8,193.2,30,-60,1,6,1
5.74,2,153.6,40.9105,7.72727,19.0909,2.2,9.21954,1
5.74,3,55.6928,184.854,-29.0811,-10.5081,1.5,8,1
5.74,4,233.3,112.914,-6.67257,-21.9115,0.9,5.5,1
5.76,1,223.4,192,30,-60,1,6,1
5.76,2,153.755,41.2923,7.72727,19.0909,2.2,9.21954,1
5.76,3,55.1112,184.644,-29.0811,-10.5081,1.5,8,1
5.76,4,233.167,112.476,-6.67257,-21.9115,0.9,5.5,1
5.78,1,224,190.8,30,-60,1,6,1
5.78,2,153.909,41.6741,7.72727,19.0909,2.2,9.21954,1
5.78,3,54.5296,184.434,-29.0811,-10.5081,1.5,8,1
5.78,4,233.033,112.038,-6.67257,-21.9115,0.9,5.5,1
5.8,1,224.6,189.6,30,-60,1,6,1
5.8,2,154.064,42.0559,7.72727,19.0909,2.2,9.21954,1
5.8,3,53.948,184.224,-29.0811,-10.5081,1.5,8,1
5.8,4,232.9,111.6,-6.67257,-21.9115,0.9,5.5,1
5.82,1,225.2,188.4,30,-60,1,6,1
5.82,2,154.218,42.4377,7.72727,19.0909,2.2,9.21954,1
5.82,3,53.3664,184.014,-29.0811,-10.5081,1.5,8,1
5.82,4,232.766,111.161,-6.67257,-21.9115,0.9,5.5,1
5.84,1,225.8,187.2,30,-60,1,6,1
5.84,2,154.373,42.8195,7.72727,19.0909,2.2,9.21954,1
5.84,3,52.7847,183.804,-29.0811,-10.5081,1.5,8,1
5.84,4,232.633,110.723,-6.67257,-21.9115,0.9,5.5,1
5.86,1,226.4,186,30,-60,1,6,1
5.86,2,154.527,43.2014,7.72727,19.0909,2.2,9.21954,1
5.86,3,52.2031,183.594,-29.0811,-10.5081,1.5,8,1
5.86,4,232.499,110.285,-6.67257,-21.9115,0.9,5.5,1
5.88,1,227,184.8,30,-60,1,6,1
5.88,2,154.682,43.5832,7.72727,19.0909,2.2,9.21954,1
5.88,3,51.6215,183.383,-29.0811,-10.5081,1.5,8,1
5.88,4,232.366,109.847,-6.67257,-21.9115,0.9,5.5,1
5.9,1,227.6,183.6,30,-60,1,6,1
5.9,2,154.836,43.965,7.72727,19.0909,2.2,9.21954,1
5.9,3,51.0399,183.173,-29.0811,-10.5081,1.5,8,1
5.9,4,232.232,109.408,-6.67257,-21.9115,0.9,5.5,1
5.92,1,228.2,182.4,30,-60,1,6,1
5.92,2,154.991,44.3468,7.72727,19.0909,2.2,9.21954,1
5.92,3,50.4582,182.963,-29.0811,-10.5081,1.5,8,1
5.92,4,232.099,108.97,-6.67257,-21.9115,0.9,5.5,1
5.94,1,228.8,181.2,30,-60,1,6,1
5.94,2,155.145,44.7286,7.72727,19.0909,2.2,9.21954,1
